# Normalized pattern<TAB>plain-language reason
bear	A common English animal name and generic creature type.
cat	A common English animal name and generic creature type.
first strike	A generic game-mechanics phrase made only of common English words.
deal damage	A generic verb phrase required in engine narration and gameplay documentation.
card draw	A generic game-engine concept used throughout rules-independent code.
game over	A generic software state and ordinary English phrase.
level up	A generic game-progression phrase required in engine narration.
no more	An ordinary English phrase used in assertions and diagnostics.
on an adventure	A generic state-transition phrase required in engine narration.
plus one	A generic arithmetic phrase used by counters and index calculations.
poison counter	A generic game-object phrase required in engine narration.
red mana	A generic structured game-resource phrase.
mana	A generic game-resource and rules-engine term used throughout card-game software.
matcher	A generic software term for a pattern-matching component.
minigame	A generic game-design term for a smaller game embedded inside another game.
radix	A generic mathematics and computer-science term for a numeral-system base.
mul	A generic abbreviation for multiplication in numeric source code.
pre	A generic prefix meaning before, used in tests and explanatory prose.
vec	The conventional Rust abbreviation and type name for a vector collection.
the core	A generic software-architecture phrase.
the end	An ordinary English phrase and generic phase/state label.
the general	An ordinary English phrase used in explanatory prose.
the moment	An ordinary English phrase used in explanatory prose.
they re	An ordinary English contraction used in explanatory prose.
too many	An ordinary quantity phrase used by HTTP and bounds diagnostics.
vigilance	A common English noun and generic game-mechanics term.
angel demon	A pair of generic creature subtypes used as structured DSL values.
angel warrior	A pair of generic creature subtypes used as structured DSL values.
angel angel	A generated enum/value pair for a generic creature subtype.
beast beast	A generated enum/value pair for a generic creature subtype.
body count	A generic parser implementation phrase for a body length/count.
clue clue	A generated enum/value pair for a generic game-object subtype.
command decision	A generic input-controller phrase pairing a command with its decision.
decisions decisions	A generated field/counter pair in search instrumentation.
dinosaur dinosaur	A generated enum/value pair for a generic creature subtype.
elemental elemental	A generated enum/value pair for a generic creature subtype.
elminster elminster	A generated enum/value pair for a public-domain character subtype.
flashback flashback	A generated enum/value pair for a generic game keyword.
forest forest	A generated enum/value pair for a generic land subtype.
game plan	A generic software and strategy phrase.
island island	A generated enum/value pair for a generic land subtype.
item crate	A generic Rust documentation phrase linking an item to its crate.
manticore manticore	A generated enum/value pair for a mythological creature subtype.
map map	A generated identifier/value pair for a generic collection operation.
mine mine mine	A generated enum/value pair for a generic land subtype.
monkey monkey monkey	A generated enum/value pair for a generic creature subtype.
mordenkainen mordenkainen	A generated enum/value pair for a public-domain character subtype.
mountain mountain	A generated enum/value pair for a generic land subtype.
negate negate	A generated local-variable/value pair for a generic negation operation.
plains plains	A generated enum/value pair for a generic land subtype.
saproling saproling	A generated enum/value pair for a generic creature subtype.
soldier soldier	A generated enum/value pair for a generic creature subtype.
spell counter	A generic engine phrase describing a counter applied to a spell.
spider spider	A generated enum/value pair for a generic creature subtype.
spirit spirit	A generated enum/value pair for a generic creature subtype.
super state	A generic Rust parent-module path followed by a state module name.
suspend suspend	A generated enum/value pair for a generic game keyword.
swamp swamp	A generated enum/value pair for a generic land subtype.
thopter thopter	A generated enum/value pair for a generic artifact subtype.
treefolk treefolk	A generated enum/value pair for a generic creature subtype.
untap upkeep draw	A generic ordered list of game phases.
vampire vampire	A generated enum/value pair for a generic creature subtype.
wish wish	A generated enum/value pair for a generic action or subtype.
zombie zombie	A generated enum/value pair for a generic creature subtype.
assembly worker	A generic artifact creature subtype used as a structured DSL value.
battle cry	A generic game-mechanics keyword retained as executable DSL vocabulary.
dragon illusion	A pair of generic creature subtypes used as structured DSL values.
eldrazi scion	A pair of creature subtypes used as structured DSL values.
eldrazi spawn	A pair of creature subtypes used as structured DSL values.
elf warrior	A pair of generic creature subtypes used as structured DSL values.
faerie rogue	A pair of generic creature subtypes used as structured DSL values.
giant warrior	A pair of generic creature subtypes used as structured DSL values.
goblin rogue	A pair of generic creature subtypes used as structured DSL values.
